agoda,ny,0,5608090,239
agoda,ny,1,105531,228
agoda,ny,2,1151,225
agoda,ny,3,1986270,70
agoda,ny,4,2460802,325
agoda,ny,5,45090,294
agoda,ny,6,75997,252
agoda,ny,7,896,189
agoda,ny,8,852005,399
agoda,ny,9,281099,69
agoda,ny,10,1622852,255
agoda,ny,11,4595238,277
agoda,ny,12,445121,369
agoda,ny,13,4454060,196
agoda,ny,14,100367,129
agoda,ny,15,46787,284
agoda,ny,16,83470,395
agoda,ny,17,184999,141
agoda,ny,18,2563,218
agoda,ny,19,1157350,295
agoda,ny,20,159712,159
agoda,ny,21,546010,218
agoda,ny,22,226314,49
agoda,ny,23,6578003,100
agoda,ny,24,7115,299
agoda,ny,25,2314393,445
agoda,ny,26,105965,425
agoda,ny,27,564887,175
agoda,ny,28,271400,455
agoda,ny,29,2887,317
agoda,ny,30,176254,215
agoda,ny,31,2459577,252
agoda,ny,32,147442,242
booking,ny,0,1225214,419
booking,ny,1,56423,225
booking,ny,2,530019,-1
booking,ny,3,3446037,288
booking,ny,4,1345044,329
booking,ny,5,2377260,219
booking,ny,6,4463237,269
booking,ny,7,3174621,259
booking,ny,8,2082655,275
booking,ny,9,3725547,-1
booking,ny,10,1357899,322
booking,ny,11,1124996,257
booking,ny,12,1336211,242
booking,ny,13,55758,239
booking,ny,14,3175233,263
booking,ny,15,1397916,379
booking,ny,16,2883256,-1
booking,ny,17,522337,180
booking,ny,18,617923,278
booking,ny,19,75588,237
booking,ny,20,2508842,339
booking,ny,21,905473,220
booking,ny,22,2769928,251
booking,ny,23,1615036,-1
booking,ny,24,3752762,269
booking,ny,25,180769,299
booking,ny,26,3000066,289
booking,ny,27,171155,385
booking,ny,28,187781,279
booking,ny,29,56510,284
booking,ny,30,1827536,-1
booking,ny,31,906253,299
booking,ny,32,56164,341
booking,ny,33,4582115,286
booking,ny,34,56506,259
hotels,ny,0,278067,181
hotels,ny,1,112993,269
hotels,ny,2,163790,-1
hotels,ny,3,679739,218
hotels,ny,4,484183,236
hotels,ny,5,163820,239
hotels,ny,6,407523264,270
hotels,ny,7,525165,311
hotels,ny,8,126897,195
hotels,ny,9,278067,181
hotels,ny,10,112993,269
hotels,ny,11,163790,-1
hotels,ny,12,679739,218
hotels,ny,13,484183,236
hotels,ny,14,163820,239
hotels,ny,15,407523264,270
hotels,ny,16,525165,311
hotels,ny,17,126897,195
hotels,ny,18,163820,239
hotels,ny,19,219447,189
hotels,ny,20,163790,-1
hotels,ny,21,451622,220
hotels,ny,22,982577440,229
hotels,ny,23,126897,195
hotels,ny,24,213134,211
hotels,ny,25,144414,225
hotels,ny,26,541480032,263
hotels,ny,27,432739,239
hotels,ny,28,138167,-1
hotels,ny,29,125206,242
booking,sf,0,457645,134
booking,sf,1,182230,160
booking,sf,2,1977442,-1
booking,sf,3,56285,189
booking,sf,4,1307316,289
booking,sf,5,181943,151
booking,sf,6,59846,169
booking,sf,7,58774,179
booking,sf,8,47280,115
booking,sf,9,1096132,-1
booking,sf,10,347594,60
booking,sf,11,324550,129
booking,sf,12,183508,250
booking,sf,13,252704,139
booking,sf,14,56278,116
booking,sf,15,56020,159
booking,sf,16,59845,-1
booking,sf,17,181293,189
booking,sf,18,58524,386
booking,sf,19,58554,306
booking,sf,20,56512,233
booking,sf,21,2001829,194
booking,sf,22,29853,220
booking,sf,23,1132505,-1
booking,sf,24,56077,169
booking,sf,25,262877,229
booking,sf,26,1331134,214
booking,sf,27,56192,178
booking,sf,28,59090,165
booking,sf,29,27744,415
booking,sf,30,507794,-1
booking,sf,31,55849,176
booking,sf,32,58965,128
booking,sf,33,58891,284
booking,sf,34,1526576,229
agoda,sf,0,147685,264
agoda,sf,1,2411214,185
agoda,sf,2,180896,123
agoda,sf,3,6950552,-1
agoda,sf,4,1846,239
agoda,sf,5,47096,176
agoda,sf,6,146799,149
agoda,sf,7,195792,128
agoda,sf,8,2462136,109
agoda,sf,9,44166,209
agoda,sf,10,44165,234
agoda,sf,11,2449744,182
agoda,sf,12,4601,259
agoda,sf,13,6021715,233
agoda,sf,14,44162,189
agoda,sf,15,43274,155
agoda,sf,16,2020089,71
agoda,sf,17,2020080,209
agoda,sf,18,337404,77
agoda,sf,19,64555,155
agoda,sf,20,44160,159
agoda,sf,21,92152,134
agoda,sf,22,44169,199
agoda,sf,23,6949995,-1
agoda,sf,24,545685,229
agoda,sf,25,64360,199
agoda,sf,26,2168960,168
agoda,sf,27,106583,109
agoda,sf,28,64634,68
agoda,sf,29,2455250,379
agoda,sf,30,147683,188
agoda,sf,31,44164,108
agoda,sf,32,47100,135
hotels,sf,0,114613,149
hotels,sf,1,110021,149
hotels,sf,2,169941,-1
hotels,sf,3,106067,183
hotels,sf,4,105310,195
hotels,sf,5,195439,161
hotels,sf,6,107231,143
hotels,sf,7,191678,207
hotels,sf,8,210688,134
hotels,sf,9,194583,185
hotels,sf,10,114613,149
hotels,sf,11,169941,-1
hotels,sf,12,436435,164
hotels,sf,13,114335,189
hotels,sf,14,129367,143
hotels,sf,15,107231,143
hotels,sf,16,191678,207
hotels,sf,17,111932,189
hotels,sf,18,124524,144
hotels,sf,19,115065,239
hotels,sf,20,169941,-1
hotels,sf,21,685906,249
hotels,sf,22,248276,191
hotels,sf,23,114613,149
hotels,sf,24,115728,199
hotels,sf,25,257208,98
hotels,sf,26,670454,79
hotels,sf,27,601827,149
hotels,sf,28,107232,-1
hotels,sf,29,105310,195
booking,london,0,1376283,217
booking,london,1,3497359,163
booking,london,2,2760872,-1
booking,london,3,119429,211
booking,london,4,30435,229
booking,london,5,34636,262
booking,london,6,104357,254
booking,london,7,290942,185
booking,london,8,3875927,320
booking,london,9,3081245,-1
booking,london,10,35658,240
booking,london,11,104373,180
booking,london,12,226191,224
booking,london,13,110345,198
booking,london,14,217628,239
booking,london,15,726843,219
booking,london,16,2098999,-1
booking,london,17,4992427,895
booking,london,18,38135,215
booking,london,19,230577,334
booking,london,20,102354,192
booking,london,21,4856869,217
booking,london,22,4159151,660
booking,london,23,38028,-1
booking,london,24,3820520,321
booking,london,25,4239121,230
booking,london,26,3128404,267
booking,london,27,112042,246
booking,london,28,179707,193
booking,london,29,443799,258
booking,london,30,2878013,-1
booking,london,31,220576,180
booking,london,32,420252,259
booking,london,33,1914748,217
booking,london,34,590224,234
agoda,london,0,7488,390
agoda,london,1,625115,274
agoda,london,2,11581,220
agoda,london,3,1265837,98
agoda,london,4,164682,410
agoda,london,5,11067,246
agoda,london,6,1177553,190
agoda,london,7,179570,356
agoda,london,8,97,293
agoda,london,9,299939,203
agoda,london,10,171623,237
agoda,london,11,291670,282
agoda,london,12,1046,246
agoda,london,13,569977,-1
agoda,london,14,289127,274
agoda,london,15,169073,260
agoda,london,16,45046,109
agoda,london,17,152119,139
agoda,london,18,51295,158
agoda,london,19,11028,379
agoda,london,20,9047,290
agoda,london,21,378,192
